Датасет,График,Что показывает,Ключевые выводы
Мойка,Line (временной ряд),Изменение количества заказов и выручки по дням,"Лёгкий рост после 2021 года, видны недельные колебания и зимние просадки"
Мойка,Boxplot (по дням недели),Распределение заказов по дням недели,"Пятница и понедельник — пиковые дни, воскресенье — спад, чёткая недельная сезонность"
Мойка,Boxplot (по месяцам),Распределение по месяцам,"Декабрь и март — пики, лето слабее; годовая сезонность"
Мойка,Heatmap (Год × Неделя),Средние значения по неделям и годам,Рост по годам и повторяющиеся годовые циклы
Мойка,Heatmap (Месяц × День недели),Сочетание месячной и недельной сезонности,Пятницы декабря и марта самые активные; лето и воскресенья слабее
Мойка,ACF / PACF,Автозависимость и повторяемость,"Недельная периодичность (лаги 7, 14, 21); зависимость до 2 дней"
Мойка,STL — Trend,Долгосрочный тренд,"Устойчивый рост 2020–2025, краткое плато в 2023"
Мойка,STL — Seasonal,Сезонная компонента,"Повторяющиеся недельные колебания, стабильная амплитуда"
Мойка,STL — Resid,Остатки,"Колеблется вокруг нуля; отрицательные — слабые дни, положительные — всплески"
Мойка,Аномалии (|z|>3),Нетипичные дни,Редкие всплески и падения; кандидаты для флага is_anomaly
Автосервис ИТС,Line (временной ряд),Изменение заказов и выручки по дням,"Выраженный рост, повторяющиеся недельные колебания"
Автосервис ИТС,Boxplot (по дням недели),Распределение заказов по дням недели,Пики — четверг и пятница; спад — суббота и воскресенье
Автосервис ИТС,Boxplot (по месяцам),Сезонность по месяцам,"Февраль, апрель, август — пики активности"
Автосервис ИТС,Heatmap (Год × Неделя),Средние значения по неделям и годам,Увеличение показателей по годам; весенне-летние всплески
Автосервис ИТС,Heatmap (Месяц × День недели),Месячно-недельная структура,Четверги и пятницы стабильны; выходные слабые
Автосервис ИТС,ACF / PACF,Повторяемость и автозависимость,"Сильная недельная корреляция (лаги 7, 14); высокая сезонная устойчивость"
Автосервис ИТС,STL — Trend,Долгосрочный тренд,"Сильный рост заказов и выручки, постепенное увеличение"
Автосервис ИТС,STL — Seasonal,Недельная сезонность,Чёткий ритм 'рабочие дни — выходные'
Автосервис ИТС,STL — Resid,Остатки,"Равномерно вокруг нуля, редкие положительные выбросы"
Автосервис ИТС,Аномалии (|z|>3),Нетипичные дни,"Всплески — вероятные акции, массовые ремонты"
