,forecast
2025-09-25,518823.06
2025-09-26,766580.5
2025-09-27,417459.62
2025-09-28,533260.6
2025-09-29,630601.4
2025-09-30,511157.53
2025-10-01,795932.06
2025-10-02,784477.5
2025-10-03,754157.06
2025-10-04,469756.78
2025-10-05,561548.5
2025-10-06,591468.75
2025-10-07,705610.94
2025-10-08,630074.9
2025-10-09,718768.0
2025-10-10,788408.5
2025-10-11,455958.53
2025-10-12,559070.75
2025-10-13,588574.44
2025-10-14,695754.9
2025-10-15,676998.8
2025-10-16,794836.5
2025-10-17,722793.44
2025-10-18,513820.78
2025-10-19,594045.25
2025-10-20,666156.1
2025-10-21,732239.2
2025-10-22,723113.56
2025-10-23,715761.9
2025-10-24,778935.6
