,forecast
2025-09-25,36995.668
2025-09-26,44644.695
2025-09-27,48402.67
2025-09-28,41433.15
2025-09-29,46640.395
2025-09-30,53004.35
2025-10-01,56559.332
2025-10-02,49675.305
2025-10-03,64264.203
2025-10-04,60435.76
2025-10-05,46467.883
2025-10-06,58160.52
2025-10-07,55817.387
2025-10-08,51815.363
2025-10-09,56001.586
2025-10-10,55806.05
2025-10-11,55223.934
2025-10-12,46237.984
2025-10-13,52849.375
2025-10-14,56718.797
2025-10-15,59253.58
2025-10-16,58847.812
2025-10-17,63050.812
2025-10-18,56000.375
2025-10-19,45541.414
2025-10-20,54391.574
2025-10-21,51595.04
2025-10-22,52373.28
2025-10-23,55204.52
2025-10-24,57129.566
