,forecast
2025-09-23,9343.33
2025-09-24,9970.611
2025-09-25,10097.992
2025-09-26,10082.297
2025-09-27,9893.704
2025-09-28,9954.184
2025-09-29,9923.142
2025-09-30,10068.433
2025-10-01,12035.228
2025-10-02,13258.774
2025-10-03,13712.676
2025-10-04,12896.97
2025-10-05,13017.395
2025-10-06,13335.184
2025-10-07,13462.556
2025-10-08,12774.976
2025-10-09,14587.197
2025-10-10,11764.552
2025-10-11,14066.098
2025-10-12,13945.04
2025-10-13,11853.93
2025-10-14,13103.432
2025-10-15,13389.222
2025-10-16,11336.614
2025-10-17,14272.24
2025-10-18,10924.543
2025-10-19,12163.479
2025-10-20,13791.089
2025-10-21,13712.799
2025-10-22,11567.26
