date,По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду,temperature_mean,pressure_mean,humidity_mean,wind_speed_avg_mean,wind_speed_avg_max,solar_rad_sum,uv_max,pcp_sum
2020-01-04,2020-01-04,1.0,3540.0,10019.12,13559.12,-1.334375,738.46875,91.75,1.91875,5.5,103.0,2.0,1.0
2020-01-05,2020-01-05,6.0,46340.0,21072.4075,46340.0,-1.9466666666666663,742.0,93.21666666666668,1.7866666666666666,5.0,57.0,2.0,3.9
2020-01-06,2020-01-06,5.666666666666667,37416.666666666664,32125.695,55494.090000000004,-1.88,750.7333333333333,90.48333333333332,1.0066666666666666,2.4,404.0,3.0,1.0
2020-01-07,2020-01-07,5.333333333333333,28493.333333333332,43178.9825,64648.18000000001,-3.943333333333333,754.95,92.1,0.93,1.1,79.0,3.0,18.1
2020-01-08,2020-01-08,5.0,19570.0,54232.27,73802.27,-6.72,755.6833333333333,93.03333333333332,0.98,2.5,675.0,3.0,4.6
2020-01-09,2020-01-09,5.0,44630.0,35011.37,79641.37,-5.803125,749.28125,90.5,1.603125,3.1,82.0,3.0,9.1
2020-01-10,2020-01-10,4.0,4150.0,28708.1775,4150.0,-3.953125,744.3125,91.5,1.28125,2.7,115.0,3.0,23.9
2020-01-11,2020-01-11,2.5,32683.333333333332,22404.985,35949.53333333334,-2.909375,743.875,90.71875,0.821875,2.2,116.0,3.0,13.8
2020-01-12,2020-01-12,1.0,61216.666666666664,16101.7925,67749.06666666668,-4.7875,743.8125,88.90625,1.13125,3.6,533.0,3.0,6.2
2020-01-13,2020-01-13,6.0,89750.0,9798.6,99548.6,-3.3400000000000003,734.5666666666667,91.73333333333332,1.7066666666666668,6.3,119.0,3.0,15.6
2020-01-14,2020-01-14,2.0,58300.0,44051.63,102351.63,-2.44375,741.09375,84.625,1.33125,3.6,201.0,3.0,10.3
2020-01-15,2020-01-15,7.0,53690.0,44402.02,98092.02,-1.4875,748.65625,86.875,1.225,3.1,158.0,3.0,8.8
2020-01-16,2020-01-16,10.0,164244.0,137163.82,301407.82,-0.5343749999999999,741.78125,94.8125,1.309375,2.2,99.0,3.0,13.7
2020-01-17,2020-01-17,10.0,163032.0,68871.51000000001,231903.51,0.7312500000000001,745.03125,93.0625,1.25625,2.2,373.0,3.0,1.1
2020-01-18,2020-01-18,10.0,161820.0,579.2,162399.2,0.3387096774193548,749.4193548387096,94.08064516129032,0.8870967741935484,2.3,115.0,3.0,3.2
2020-01-19,2020-01-19,2.0,18340.0,20343.466666666667,18340.0,-0.15,749.21875,93.71875,0.934375,1.8,151.0,3.0,9.6
2020-01-20,2020-01-20,1.0,6000.0,40107.73333333333,6000.0,-0.4312499999999999,745.25,95.34375,0.73125,1.3,110.0,3.0,19.7
2020-01-21,2020-01-21,3.0,36440.0,59872.0,96312.0,-0.959375,738.1875,95.25,1.20625,2.7,236.0,3.0,18.5
2020-01-22,2020-01-22,6.0,27750.0,31600.0,59350.0,-1.0375,723.4375,95.71875,1.30625,7.3,117.0,3.0,27.5
2020-01-23,2020-01-23,4.0,50550.0,19930.0,70480.0,-4.348387096774193,726.4516129032259,92.6774193548387,0.9387096774193548,2.2,149.0,3.0,20.4
2020-01-24,2020-01-24,8.0,99010.0,23028.8,122038.8,-7.965625,734.28125,89.875,1.128125,2.7,225.0,3.0,12.1
2020-01-25,2020-01-25,4.0,52600.0,11147.02,63747.02,-7.246875,728.65625,91.6875,1.125,1.8,163.0,3.0,24.8
2020-01-26,2020-01-26,1.0,13600.0,648.2,14248.2,-5.078125,729.59375,89.9375,1.159375,2.7,245.0,3.0,17.5
2020-01-27,2020-01-27,9.0,63550.0,164484.3,228034.3,-10.81875,736.4375,86.09375,0.95625,2.2,244.0,3.0,15.4
2020-01-28,2020-01-28,3.0,14700.0,419.82,15119.82,-17.453125,750.1875,85.59375,0.840625,1.8,1381.0,3.0,0.0
2020-01-29,2020-01-29,2.0,16050.0,4241.62,20291.62,-17.415625,753.96875,86.875,1.240625,2.7,256.0,3.0,16.8
2020-01-30,2020-01-30,6.0,9240.0,64922.89,74162.89,-8.903125,748.71875,90.625,1.15,2.2,253.0,3.0,25.4
2020-01-31,2020-01-31,5.0,36950.0,61607.54,98557.54,-2.378125,742.59375,94.6875,1.965625,3.1,151.0,3.0,29.5
