По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду
2020-01-30,1.0,7000.0,0.0,7000.0
2020-01-31,4.0,7500.0,0.0,7500.0
2020-02-01,3.769230769230769,7000.0,0.0,7000.0
2020-02-02,3.5384615384615383,6500.0,0.0,6500.0
2020-02-03,3.3076923076923075,6000.0,0.0,6000.0
2020-02-04,3.0769230769230766,5500.0,0.0,5500.0
2020-02-05,2.846153846153846,5000.0,0.0,5000.0
2020-02-06,2.6153846153846154,4500.0,0.0,4500.0
2020-02-07,2.3846153846153846,4000.0,0.0,4000.0
2020-02-08,2.1538461538461537,3500.0,0.0,3500.0
2020-02-09,1.923076923076923,3000.0,0.0,3000.0
2020-02-10,1.692307692307692,2500.0,0.0,2500.0
2020-02-11,1.4615384615384612,2000.0,0.0,2000.0
2020-02-12,1.2307692307692308,1500.0,0.0,1500.0
2020-02-13,1.0,1000.0,0.0,1000.0
2020-02-14,1.0,953.3333333333334,0.0,953.3333333333334
2020-02-15,1.0,906.6666666666666,0.0,906.6666666666666
2020-02-16,1.0,860.0,0.0,860.0
2020-02-17,1.0,813.3333333333334,0.0,813.3333333333334
2020-02-18,1.0,766.6666666666667,0.0,766.6666666666667
2020-02-19,1.0,720.0,0.0,720.0
2020-02-20,1.0,673.3333333333334,0.0,673.3333333333334
2020-02-21,1.0,626.6666666666667,0.0,626.6666666666667
2020-02-22,1.0,580.0,0.0,580.0
2020-02-23,1.0,533.3333333333334,0.0,533.3333333333334
2020-02-24,1.0,486.66666666666674,0.0,486.66666666666674
2020-02-25,1.0,440.0,0.0,440.0
2020-02-26,1.0,393.33333333333337,0.0,393.33333333333337
2020-02-27,1.0,346.66666666666674,0.0,346.66666666666674
2020-02-28,1.0,300.0,0.0,300.0
2020-02-29,1.0,300.0,0.0,300.0
2020-03-01,1.0,300.0,0.0,300.0
2020-03-02,1.0,300.0,0.0,300.0
2020-03-03,1.0,300.0,0.0,300.0
2020-03-04,1.0,300.0,0.0,300.0
2020-03-05,1.0,300.0,0.0,300.0
2020-03-06,1.0,300.0,0.0,300.0
2020-03-07,1.0,300.0,0.0,300.0
2020-03-08,1.0,300.0,0.0,300.0
2020-03-09,1.0,300.0,0.0,300.0
2020-03-10,1.0,300.0,0.0,300.0
2020-03-11,1.0,300.0,0.0,300.0
2020-03-12,1.0,300.0,0.0,300.0
2020-03-13,1.0,300.0,0.0,300.0
2020-03-14,1.0,300.0,0.0,300.0
2020-03-15,1.0,300.0,0.0,300.0
2020-03-16,1.0,300.0,0.0,300.0
2020-03-17,1.0,300.0,0.0,300.0
2020-03-18,1.0,300.0,0.0,300.0
2020-03-19,1.0,300.0,0.0,300.0
2020-03-20,1.0,300.0,0.0,300.0
2020-03-21,1.0,300.0,0.0,300.0
2020-03-22,1.0,300.0,0.0,300.0
2020-03-23,1.0,300.0,0.0,300.0
2020-03-24,1.0,300.0,0.0,300.0
2020-03-25,1.0,300.0,0.0,300.0
2020-03-26,1.0,300.0,0.0,300.0
2020-03-27,1.0,300.0,0.0,300.0
2020-03-28,1.0,300.0,0.0,300.0
2020-03-29,1.0,300.0,0.0,300.0
2020-03-30,1.0,300.0,0.0,300.0
2020-03-31,1.0,300.0,0.0,300.0
2020-04-01,1.0,300.0,0.0,300.0
2020-04-02,1.0,300.0,0.0,300.0
2020-04-03,1.0,300.0,0.0,300.0
2020-04-04,1.0,300.0,0.0,300.0
2020-04-05,1.0,300.0,0.0,300.0
2020-04-06,1.0,300.0,0.0,300.0
2020-04-07,1.0,300.0,0.0,300.0
2020-04-08,1.0,300.0,0.0,300.0
2020-04-09,1.0,300.0,0.0,300.0
2020-04-10,1.0,300.0,0.0,300.0
2020-04-11,1.0,300.0,0.0,300.0
2020-04-12,1.0,300.0,0.0,300.0
2020-04-13,1.0,300.0,0.0,300.0
2020-04-14,1.0,300.0,0.0,300.0
2020-04-15,1.0,300.0,0.0,300.0
2020-04-16,1.0,300.0,0.0,300.0
2020-04-17,1.0,300.0,0.0,300.0
2020-04-18,1.0,300.0,0.0,300.0
2020-04-19,1.0,300.0,0.0,300.0
2020-04-20,1.0,300.0,0.0,300.0
2020-04-21,1.0,300.0,0.0,300.0
2020-04-22,1.0,300.0,0.0,300.0
2020-04-23,1.0,299.41520467836256,0.0,299.41520467836256
2020-04-24,1.0,298.83040935672517,0.0,298.83040935672517
2020-04-25,1.0,298.2456140350877,0.0,298.2456140350877
2020-04-26,1.0,297.6608187134503,0.0,297.6608187134503
2020-04-27,1.0,297.07602339181284,0.0,297.07602339181284
2020-04-28,1.0,296.49122807017545,0.0,296.49122807017545
2020-04-29,1.0,295.906432748538,0.0,295.906432748538
2020-04-30,1.0,295.32163742690057,0.0,295.32163742690057
2020-05-01,1.0,294.7368421052632,0.0,294.7368421052632
