По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду
2020-01-05,2.0,2650.0,0.0,2650.0
2020-01-06,3.0,4550.0,0.0,4550.0
2020-01-07,2.5,3115.0,0.0,3115.0
2020-01-08,2.0,1680.0,0.0,1680.0
2020-01-09,3.0,2160.0,0.0,2160.0
2020-01-10,2.0,1230.0,0.0,1230.0
2020-01-11,1.0,300.0,0.0,300.0
2020-01-12,2.0,1400.0,0.0,1400.0
2020-01-13,1.0,1300.0,0.0,1300.0
2020-01-14,2.0,1600.0,0.0,1600.0
2020-01-15,1.0,1550.0,0.0,1550.0
2020-01-16,2.0,525.0,0.0,525.0
2020-01-17,3.0,2800.0,0.0,2800.0
2020-01-18,1.0,200.0,0.0,200.0
2020-01-19,3.0,1407.5,0.0,1407.5
2020-01-20,5.0,2615.0,0.0,2615.0
2020-01-21,3.0,825.0,0.0,825.0
2020-01-22,3.0,6800.0,0.0,6800.0
2020-01-23,3.0,4075.0,0.0,4075.0
2020-01-24,2.0,3275.0,0.0,3275.0
2020-01-25,1.0,100.0,0.0,100.0
2020-01-26,1.0,1400.0,0.0,1400.0
2020-01-27,2.0,7550.0,0.0,7550.0
2020-01-28,1.0,275.0,0.0,275.0
2020-01-29,1.0,287.5,0.0,287.5
2020-01-30,1.0,300.0,0.0,300.0
2020-01-31,1.5,4550.0,0.0,4550.0
2020-02-01,2.0,8800.0,0.0,8800.0
2020-02-02,3.0,1600.0,0.0,1600.0
2020-02-03,2.0,2200.0,0.0,2200.0
2020-02-04,2.0,1250.0,0.0,1250.0
2020-02-05,2.0,3000.0,0.0,3000.0
2020-02-06,2.0,2070.0,0.0,2070.0
2020-02-07,2.0,2150.0,0.0,2150.0
2020-02-08,2.0,470.0,0.0,470.0
2020-02-09,1.0,700.0,0.0,700.0
2020-02-10,3.0,2700.0,0.0,2700.0
2020-02-11,1.0,950.0,0.0,950.0
2020-02-12,1.0,200.0,0.0,200.0
2020-02-13,2.0,3150.0,0.0,3150.0
2020-02-14,2.0,2750.0,0.0,2750.0
2020-02-15,3.0,2320.0,0.0,2320.0
2020-02-16,1.0,750.0,0.0,750.0
2020-02-17,2.0,1625.0,0.0,1625.0
2020-02-18,1.6666666666666667,1216.6666666666667,0.0,1216.6666666666667
2020-02-19,1.3333333333333335,808.3333333333334,0.0,808.3333333333334
2020-02-20,1.0,400.0,0.0,400.0
2020-02-21,1.0,700.0,0.0,700.0
2020-02-22,2.0,1950.0,0.0,1950.0
