date,По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду,temperature_mean,pressure_mean,humidity_mean,wind_speed_avg_mean,wind_speed_avg_max,solar_rad_sum,uv_max,pcp_sum,dow,dow_sin,dow_cos,month,month_sin,month_cos,is_weekend,is_friday,is_monday,is_peak_month,lag_1,lag_1_orders,lag_7,lag_7_orders,lag_14,lag_14_orders,lag_28,lag_28_orders,ma7,std7,growth_wow_7,ma14,std14,growth_wow_14,ma28,std28,growth_wow_28,stl_trend,stl_seasonal,stl_resid,is_anomaly,dow_x_month,is_friday_dec,is_friday_mar,avg_check,work_share,parts_share
2020-01-04,2020-01-04,1.0,3540.0,10019.12,13559.12,-1.334375,738.46875,91.75,1.91875,5.5,103.0,2.0,1.0,5,-0.9749279121818236,-0.2225209339563146,1,0.49999999999999994,0.8660254037844387,1,0,0,0,,,,,,,,,13559.12,0.0,,13559.12,0.0,,13559.12,0.0,,47210.20124350085,-32186.45922747397,-1464.6220160268786,0,5,0,0,13559.106440893562,0.26107889005620727,0.7389211098700417
2020-01-05,2020-01-05,6.0,46340.0,21072.4075,46340.0,-1.9466666666666663,742.0,93.21666666666668,1.7866666666666666,5.0,57.0,2.0,3.9,6,-0.7818314824680299,0.6234898018587334,1,0.49999999999999994,0.8660254037844387,1,0,0,0,13559.12,1.0,,,,,,,29949.56,23179.582541262473,,29949.56,23179.582541262473,,29949.56,23179.582541262473,,49419.130528488575,-21035.929151829903,17956.798623341325,0,6,0,0,7723.332046111325,0.9999999999784204,0.4547347324027895
2020-01-06,2020-01-06,5.666666666666667,37416.66666666666,32125.695,55494.09,-1.88,750.7333333333333,90.48333333333332,1.0066666666666666,2.4,404.0,3.0,1.0,0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,0,1,0,46340.0,6.0,,,,,,,38464.40333333333,22048.90460696933,,38464.40333333333,22048.90460696933,,38464.40333333333,22048.90460696933,,52209.37593385916,-11666.489124681288,14951.203190822125,0,0,0,0,9793.072977693002,0.6742459722466376,0.5789029966870544
2020-01-07,2020-01-07,5.333333333333333,28493.33333333333,43178.9825,64648.18000000001,-3.943333333333333,754.95,92.1,0.93,1.1,79.0,3.0,18.1,1,0.7818314824680298,0.6234898018587336,1,0.49999999999999994,0.8660254037844387,0,0,0,0,55494.09,5.666666666666667,,,,,,,45010.3475,22259.836845253198,,45010.3475,22259.836845253198,,45010.3475,22259.836845253198,,55687.296694081895,-5834.460459149666,14795.343765067773,0,1,0,0,12121.53147721285,0.44074455511187755,0.6679071630374139
2020-01-08,2020-01-08,5.0,19570.0,54232.27,73802.27,-6.72,755.6833333333333,93.03333333333332,0.98,2.5,675.0,3.0,4.6,2,0.9749279121818236,-0.22252093395631434,1,0.49999999999999994,0.8660254037844387,0,0,0,0,64648.18000000001,5.333333333333333,,,,,,,50768.732,23182.32543409246,,50768.732,23182.32543409246,,50768.732,23182.32543409246,,59873.554157752114,978.7091074126824,12950.00673483521,0,2,0,0,14760.451047909792,0.2651679955065723,0.7348320044798781
2020-01-09,2020-01-09,5.0,44630.0,35011.37,79641.37,-5.803125,749.28125,90.5,1.603125,3.1,82.0,3.0,9.1,3,0.43388373911755823,-0.900968867902419,1,0.49999999999999994,0.8660254037844387,0,0,0,0,73802.27,5.0,,,,,,,55580.83833333334,23851.08748475794,,55580.83833333334,23851.08748475794,,55580.83833333334,23851.08748475794,,64614.15629129997,71377.69475502185,-56350.481046321824,0,3,0,0,15928.270814345835,0.5603871455179591,0.43961285446948484
2020-01-10,2020-01-10,4.0,4150.0,28708.1775,4150.0,-3.953125,744.3125,91.5,1.28125,2.7,115.0,3.0,23.9,4,-0.433883739117558,-0.9009688679024191,1,0.49999999999999994,0.8660254037844387,0,1,0,0,79641.37,5.0,,,,,,,48233.57571428572,29187.974483636728,,48233.57571428572,29187.974483636728,,48233.57571428572,29187.974483636728,,69369.8978403329,-549.1661856865094,-64670.731654646384,0,4,0,0,1037.4997406250648,0.9999999997590361,6.917633130863221
2020-01-11,2020-01-11,2.5,32683.33333333333,22404.985,35949.53333333334,-2.909375,743.875,90.71875,0.821875,2.2,116.0,3.0,13.8,5,-0.9749279121818236,-0.2225209339563146,1,0.49999999999999994,0.8660254037844387,1,0,0,0,4150.0,4.0,13559.12,1.0,,,,,51432.206190476194,25783.031520805645,22390.413333333338,46698.07041666667,27369.593691356207,22390.413333333338,46698.07041666667,27369.593691356207,22390.413333333338,73747.17141057804,-17528.59266949433,-20269.045407750367,0,5,0,0,14379.807581410303,0.9091448567461472,0.623234376692236
2020-01-12,2020-01-12,1.0,61216.66666666666,16101.7925,67749.06666666668,-4.7875,743.8125,88.90625,1.13125,3.6,533.0,3.0,6.2,6,-0.7818314824680299,0.6234898018587334,1,0.49999999999999994,0.8660254037844387,1,0,0,0,35949.53333333334,2.5,46340.0,6.0,,,,,54490.64428571429,26342.04292651281,21409.06666666668,49037.07,26546.11267085421,21409.06666666668,49037.07,26546.11267085421,21409.06666666668,87036.48071456478,-31716.127314552905,12428.713266654799,0,6,0,0,67748.99891766776,0.9035794834924624,0.23766810809343003
2020-01-13,2020-01-13,6.0,89750.0,9798.6,99548.6,-3.3400000000000003,734.5666666666667,91.73333333333332,1.7066666666666668,6.3,119.0,3.0,15.6,0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,0,1,0,67749.06666666668,1.0,55494.09,5.666666666666667,,,,,60784.14571428572,31398.977428897437,44054.51000000001,54088.223,29690.705579199363,44054.51000000001,54088.223,29690.705579199363,44054.51000000001,103093.77506742539,-10071.701990797526,6526.526923372148,0,0,0,0,16591.430568094907,0.901569685551564,0.09843031443839059
2020-01-14,2020-01-14,2.0,58300.0,44051.63,102351.63,-2.44375,741.09375,84.625,1.33125,3.6,201.0,3.0,10.3,1,0.7818314824680298,0.6234898018587336,1,0.49999999999999994,0.8660254037844387,0,0,0,0,99548.6,6.0,64648.18000000001,5.333333333333333,,,,,66170.35285714286,35178.64195470512,37703.45,58475.80545454545,31704.00409666603,37703.45,58475.80545454545,31704.00409666603,37703.45,116962.9844141711,-4577.501153866531,-10033.85326030456,0,1,0,0,51175.789412105296,0.5696049979802998,0.4303950020099299
2020-01-15,2020-01-15,7.0,53690.0,44402.02,98092.02,-1.4875,748.65625,86.875,1.225,3.1,158.0,3.0,8.8,2,0.9749279121818236,-0.22252093395631434,1,0.49999999999999994,0.8660254037844387,0,0,0,0,102351.63,2.0,73802.27,5.0,,,,,69640.31714285715,37196.960466233075,24289.75,61777.15666666667,32319.563698979542,24289.75,61777.15666666667,32319.563698979542,24289.75,124795.58731265218,-10966.572391721522,-15736.99492093065,0,2,0,0,14013.143712408042,0.5473431987581932,0.45265680123161234
2020-01-16,2020-01-16,10.0,164244.0,137163.82,301407.82,-0.5343749999999999,741.78125,94.8125,1.309375,2.2,99.0,3.0,13.7,3,0.43388373911755823,-0.900968867902419,1,0.49999999999999994,0.8660254037844387,0,0,0,0,98092.02,7.0,79641.37,5.0,,,,,101321.23857142858,95648.72542451031,221766.45,80210.28461538462,73312.00919502105,221766.45,80210.28461538462,73312.00919502105,221766.45,126417.98453399727,51886.99972140093,123102.8357446018,0,3,0,0,30140.778985922105,0.5449228225049206,0.4550771774917616
2020-01-17,2020-01-17,10.0,163032.0,68871.51000000001,231903.51,0.7312500000000001,745.03125,93.0625,1.25625,2.2,373.0,3.0,1.1,4,-0.433883739117558,-0.9009688679024191,1,0.49999999999999994,0.8660254037844387,0,1,0,0,301407.82,10.0,4150.0,4.0,,,,,133857.45428571428,95822.15708183406,227753.51,91045.515,81270.21021510244,227753.51,91045.515,81270.21021510244,227753.51,123991.79036883476,20287.969396721965,87623.75023444327,0,4,0,0,23190.348680965133,0.7030165261375172,0.29698347385817064
2020-01-18,2020-01-18,10.0,161820.0,579.2,162399.2,0.3387096774193548,749.4193548387096,94.08064516129032,0.8870967741935484,2.3,115.0,3.0,3.2,5,-0.9749279121818236,-0.2225209339563146,1,0.49999999999999994,0.8660254037844387,1,0,0,0,231903.51,10.0,35949.53333333334,2.5,13559.12,1.0,,,151921.6923809524,85669.68357628539,126449.66666666667,101676.94928571429,80080.64940213179,126449.66666666667,95802.42733333334,80451.82099873021,126449.66666666667,118940.41062128583,-4517.003149767485,47975.792528481674,0,5,0,0,16239.918376008165,0.9964334799617458,0.0035665200320964233
2020-01-19,2020-01-19,2.0,18340.0,20343.466666666667,18340.0,-0.15,749.21875,93.71875,0.934375,1.8,151.0,3.0,9.6,6,-0.7818314824680299,0.6234898018587334,1,0.49999999999999994,0.8660254037844387,1,0,0,0,162399.2,10.0,67749.06666666668,1.0,46340.0,6.0,,,144863.2542857143,95259.3432737503,-49409.06666666668,99676.94928571429,81898.01560133422,-49409.06666666668,90961.02562500001,80100.07821407454,-49409.06666666668,111649.64155114039,-38696.15107831648,-54613.49047282391,0,6,0,0,9169.995415002291,0.9999999999454744,1.109240276202695
2020-01-20,2020-01-20,1.0,6000.0,40107.73333333333,6000.0,-0.4312499999999999,745.25,95.34375,0.73125,1.3,110.0,3.0,19.7,0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,0,1,0,18340.0,2.0,99548.6,6.0,55494.09,5.666666666666667,,,131499.16857142857,108340.08866728489,-93548.6,96141.65714285716,84962.87613648824,-93548.6,85963.31823529412,80247.31439359892,-93548.6,100967.53775763391,-8907.254214464128,-86060.28354316977,0,0,0,0,5999.9940000060005,0.9999999998333333,6.684622221108118
2020-01-21,2020-01-21,3.0,36440.0,59872.0,96312.0,-0.959375,738.1875,95.25,1.20625,2.7,236.0,3.0,18.5,1,0.7818314824680298,0.6234898018587336,1,0.49999999999999994,0.8660254037844387,0,0,0,0,6000.0,1.0,102351.63,2.0,64648.18000000001,5.333333333333333,,,130636.3642857143,108634.55227141439,-6039.630000000005,98403.35857142859,84480.1068915082,-6039.630000000005,86538.24500000001,77889.53299698496,-6039.630000000005,87794.1727208912,-730.0968502643143,9247.924129373103,0,1,0,0,32103.989298670233,0.3783536838568574,0.6216463161327598
2020-01-22,2020-01-22,6.0,27750.0,31600.0,59350.0,-1.0375,723.4375,95.71875,1.30625,7.3,117.0,3.0,27.5,2,0.9749279121818236,-0.22252093395631434,1,0.49999999999999994,0.8660254037844387,0,0,0,0,96312.0,3.0,98092.02,7.0,73802.27,5.0,,,125101.79000000001,111517.55204427375,-38742.020000000004,97371.0535714286,84891.14391222326,-38742.020000000004,85107.2847368421,75951.57240939158,-38742.020000000004,77064.57401469303,-22671.455861433456,4956.88184674042,0,2,0,0,9891.66501805583,0.4675652906408161,0.5324347093423347
