date,По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду,dow,dow_sin,dow_cos,month,month_sin,month_cos,is_weekend,is_friday,is_monday,is_peak_month,lag_1,lag_1_orders,lag_7,lag_7_orders,lag_14,lag_14_orders,lag_28,lag_28_orders,ma7,std7,growth_wow_7,ma14,std14,growth_wow_14,ma28,std28,growth_wow_28,stl_trend,stl_seasonal,stl_resid,is_anomaly,dow_x_month,is_friday_dec,is_friday_mar,avg_check,work_share
2019-05-27,2019-05-27,1.0,48350.0,0.0,48350.0,0,0.0,1.0,5,0.49999999999999994,-0.8660254037844387,0,0,1,0,,,,,,,,,48350.0,0.0,,48350.0,0.0,,48350.0,0.0,,48349.99999999995,2.0458262608419314e-11,2.9103830456733704e-11,0,0,0,0,48349.95165004835,0.9999999999793174
2019-05-28,2019-05-28,1.0272727272727271,48147.5,0.0,48147.5,1,0.7818314824680298,0.6234898018587336,5,0.49999999999999994,-0.8660254037844387,0,0,0,0,48350.0,1.0,,,,,,,48248.75,143.18912319027586,,48248.75,143.18912319027586,,48248.75,143.18912319027586,,48147.49999999996,1.1600443295158518e-11,2.1827872842550278e-11,0,5,0,0,46869.202162723566,0.9999999999792305
2019-05-29,2019-05-29,1.0545454545454545,47945.0,0.0,47945.0,2,0.9749279121818236,-0.22252093395631434,5,0.49999999999999994,-0.8660254037844387,0,0,0,0,48147.5,1.0272727272727271,,,,,,,48147.5,202.5,,48147.5,202.5,,48147.5,202.5,,47945.00000000001,-1.1329859983855801e-11,7.275957614183426e-12,0,10,0,0,45465.04309349362,0.9999999999791428
2019-05-30,2019-05-30,1.0818181818181818,47742.5,0.0,47742.5,3,0.43388373911755823,-0.900968867902419,5,0.49999999999999994,-0.8660254037844387,0,0,0,0,47945.0,1.0545454545454545,,,,,,,48046.25,261.42637586900065,,48046.25,261.42637586900065,,48046.25,261.42637586900065,,47742.49999999998,2.3411555631543947e-12,2.1827872842550278e-11,0,15,0,0,44131.681895083966,0.9999999999790543
2019-05-31,2019-05-31,1.1090909090909091,47540.0,0.0,47540.0,4,-0.433883739117558,-0.9009688679024191,5,0.49999999999999994,-0.8660254037844387,0,1,0,0,47742.5,1.0818181818181818,,,,,,,47945.0,320.1806130920484,,47945.0,320.1806130920484,,47945.0,320.1806130920484,,47540.00000000001,-1.3580818220904053e-11,7.275957614183426e-12,0,20,0,0,42863.89577845463,0.999999999978965
2019-06-01,2019-06-01,1.1363636363636362,47337.5,0.0,47337.5,5,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,0,0,47540.0,1.1090909090909091,,,,,,,47843.75,378.84281041086155,,47843.75,378.84281041086155,,47843.75,378.84281041086155,,47337.49999999997,1.097198042109803e-11,1.4551915228366852e-11,0,30,0,0,41656.963341872266,0.9999999999788751
2019-06-02,2019-06-02,1.1636363636363636,47135.0,0.0,47135.0,6,-0.7818314824680299,0.6234898018587334,6,1.2246467991473532e-16,-1.0,1,0,0,0,47337.5,1.1363636363636362,,,,,,,47742.5,437.44999714253055,,47742.5,437.44999714253055,,47742.5,437.44999714253055,,47135.0,-1.394643596197266e-11,1.4551915228366852e-11,0,36,0,0,40506.60581463563,0.9999999999787843
2019-06-03,2019-06-03,1.190909090909091,46932.5,0.0,46932.5,0,0.0,1.0,6,1.2246467991473532e-16,-1.0,0,0,1,0,47135.0,1.1636363636363636,48350.0,1.0,,,,,47540.0,437.44999714253055,-1417.5,47641.25,496.0216729135936,-1417.5,47641.25,496.0216729135936,-1417.5,46932.499999999985,1.1106348972985265e-11,0.0,0,0,0,0,39408.936374175566,0.9999999999786928
2019-06-04,2019-06-04,1.2181818181818185,46730.0,0.0,46730.0,1,0.7818314824680298,0.6234898018587336,6,1.2246467991473532e-16,-1.0,0,0,0,0,46932.5,1.190909090909091,48147.5,1.0272727272727271,,,,,47337.5,437.44999714253055,-1417.5,47540.0,554.5690894739807,-1417.5,47540.0,554.5690894739807,-1417.5,46729.99999999999,9.417831838118976e-12,0.0,0,6,0,0,38360.41627130007,0.9999999999786005
2019-06-05,2019-06-05,1.2454545454545454,46527.5,0.0,46527.5,2,0.9749279121818236,-0.22252093395631434,6,1.2246467991473532e-16,-1.0,0,0,0,0,46730.0,1.2181818181818185,47945.0,1.0545454545454545,,,,,47135.0,437.44999714253055,-1417.5,47438.75,613.0991967047421,-1417.5,47438.75,613.0991967047421,-1417.5,46527.499999999985,-6.607311112585331e-12,2.1827872842550278e-11,0,12,0,0,37357.81672000118,0.9999999999785073
2019-06-06,2019-06-06,1.2727272727272727,46325.0,0.0,46325.0,3,0.43388373911755823,-0.900968867902419,6,1.2246467991473532e-16,-1.0,0,0,0,0,46527.5,1.2454545454545454,47742.5,1.0818181818181818,,,,,46932.5,437.44999714253055,-1417.5,47337.5,671.6165200469685,-1417.5,47337.5,671.6165200469685,-1417.5,46324.99999999999,1.3714306505844995e-12,7.275957614183426e-12,0,18,0,0,36398.18568713982,0.9999999999784134
2019-06-07,2019-06-07,1.3,46122.5,0.0,46122.5,4,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,1,0,0,46325.0,1.2727272727272727,47540.0,1.1090909090909091,,,,,46730.0,437.44999714253055,-1417.5,47236.25,730.1241332814578,-1417.5,47236.25,730.1241332814578,-1417.5,46122.49999999999,-8.302390743929356e-12,1.4551915228366852e-11,0,24,0,0,35478.81886244703,0.9999999999783186
2019-06-08,2019-06-08,1.3272727272727272,45920.0,0.0,45920.0,5,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,0,0,46122.5,1.3,47337.5,1.1363636363636362,,,,,46527.5,437.44999714253055,-1417.5,47135.0,788.6241975744848,-1417.5,47135.0,788.6241975744848,-1417.5,45919.999999999985,6.840560272972165e-12,7.275957614183426e-12,0,30,0,0,34597.23420756328,0.999999999978223
2019-06-09,2019-06-09,1.3545454545454545,45717.5,0.0,45717.5,6,-0.7818314824680299,0.6234898018587334,6,1.2246467991473532e-16,-1.0,1,0,0,0,45920.0,1.3272727272727272,47135.0,1.1636363636363636,,,,,46325.0,437.44999714253055,-1417.5,47033.75,847.1182768657515,-1417.5,47033.75,847.1182768657515,-1417.5,45717.5,-8.574637038580322e-12,7.275957614183426e-12,0,36,0,0,33751.14957968823,0.9999999999781265
2019-06-10,2019-06-10,1.3818181818181818,45515.0,0.0,45515.0,0,0.0,1.0,6,1.2246467991473532e-16,-1.0,0,0,1,0,45717.5,1.3545454545454545,46932.5,1.190909090909091,48350.0,1.0,,,46122.5,437.44999714253055,-1417.5,46831.25,847.1182768657515,-1417.5,46932.5,905.6075308874148,-1417.5,45515.0,2.8634120234960077e-12,0.0,0,0,0,0,32938.46300505967,0.9999999999780292
2019-06-11,2019-06-11,1.4090909090909092,45312.5,0.0,45312.5,1,0.7818314824680298,0.6234898018587336,6,1.2246467991473532e-16,-1.0,0,0,0,0,45515.0,1.3818181818181818,46730.0,1.2181818181818185,48147.5,1.0272727272727271,,,45920.0,437.44999714253055,-1417.5,46628.75,847.1182768657515,-1417.5,46831.25,964.0928378532848,-1417.5,45312.49999999999,7.535940854847078e-12,0.0,0,6,0,0,32157.23524325241,0.999999999977931
2019-06-12,2019-06-12,1.4363636363636365,45110.0,0.0,45110.0,2,0.9749279121818236,-0.22252093395631434,6,1.2246467991473532e-16,-1.0,0,0,0,0,45312.5,1.4090909090909092,46527.5,1.2454545454545454,47945.0,1.0545454545454545,,,45717.5,437.44999714253055,-1417.5,46426.25,847.1182768657515,-1417.5,46730.0,1022.5748750091603,-1417.5,45109.999999999985,-2.258601949070903e-12,1.4551915228366852e-11,0,12,0,0,31405.674337821663,0.999999999977832
2019-06-13,2019-06-13,1.4636363636363636,44907.5,0.0,44907.5,3,0.43388373911755823,-0.900968867902419,6,1.2246467991473532e-16,-1.0,0,0,0,0,45110.0,1.4363636363636365,46325.0,1.2727272727272727,47742.5,1.0818181818181818,,,45515.0,437.44999714253055,-1417.5,46223.75,847.1182768657515,-1417.5,46628.75,1081.0541730181703,-1417.5,44907.49999999999,5.626120415344088e-13,7.275957614183426e-12,0,18,0,0,30682.121894202435,0.999999999977732
2019-06-14,2019-06-14,1.490909090909091,44705.0,0.0,44705.0,4,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,1,0,0,44907.5,1.4636363636363636,46122.5,1.3,47540.0,1.1090909090909091,,,45312.5,437.44999714253055,-1417.5,46021.25,847.1182768657515,-1417.5,46527.5,1139.531153589054,-1417.5,44704.999999999985,-3.821698476390761e-12,2.1827872842550278e-11,0,24,0,0,29985.040863692106,0.9999999999776311
2019-06-15,2019-06-15,1.518181818181818,44502.5,0.0,44502.5,5,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,0,0,44705.0,1.490909090909091,45920.0,1.3272727272727272,47337.5,1.1363636363636362,,,45110.0,437.44999714253055,-1417.5,45818.75,847.1182768657515,-1417.5,46426.25,1198.0061560776724,-1417.5,44502.49999999999,2.8789715732280296e-12,7.275957614183426e-12,0,30,0,0,29313.00464412868,0.9999999999775293
